"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"668","Jefferson County",47089,"Tennessee",47089,"54,495",217,"Hamblen (Morristown), TN - Jefferson, TN","149,369"
"669","Jasper County",13159,"Georgia",13159,"14,219",220,"Newton (Covington), GA - Jasper, GA","125,963"
"670","Newton County",13217,"Georgia",13217,"111,744",220,"Newton (Covington), GA - Jasper, GA","125,963"
"671","Anderson County",47001,"Tennessee",47001,"76,978",226,"Anderson (Oak Ridge), TN - Roane, TN","224,772"
"672","Morgan County",47129,"Tennessee",47129,"21,403",226,"Anderson (Oak Ridge), TN - Roane, TN","224,772"
"673","Campbell County",47013,"Tennessee",47013,"39,842",226,"Anderson (Oak Ridge), TN - Roane, TN","224,772"
"674","Rhea County",47143,"Tennessee",47143,"33,167",226,"Anderson (Oak Ridge), TN - Roane, TN","224,772"
"675","Roane County",47145,"Tennessee",47145,"53,382",226,"Anderson (Oak Ridge), TN - Roane, TN","224,772"
"676","Clay County",1027,"Alabama",1027,"13,235",241,"Talladega, AL - Clay, AL","103,876"
"677","Coosa County",1037,"Alabama",1037,"10,663",241,"Talladega, AL - Clay, AL","103,876"
"678","Talladega County",1121,"Alabama",1121,"79,978",241,"Talladega, AL - Clay, AL","103,876"
"679","Carteret County",37031,"North Carolina",37031,"69,473",242,"Onslow, NC - Craven, NC","391,695"
"680","Onslow County",37133,"North Carolina",37133,"197,938",242,"Onslow, NC - Craven, NC","391,695"
"681","Craven County",37049,"North Carolina",37049,"102,139",242,"Onslow, NC - Craven, NC","391,695"
"682","Jones County",37103,"North Carolina",37103,"9,419",242,"Onslow, NC - Craven, NC","391,695"
"683","Pamlico County",37137,"North Carolina",37137,"12,726",242,"Onslow, NC - Craven, NC","391,695"
"684","Georgetown County",45043,"South Carolina",45043,"62,680",246,"Horry, SC - Georgetown, SC","416,761"
"685","Horry County",45051,"South Carolina",45051,"354,081",246,"Horry, SC - Georgetown, SC","416,761"
"686","Fayette County",1057,"Alabama",1057,"16,302",247,"Marion, AL - Fayette, AL","46,011"
"687","Marion County",1093,"Alabama",1093,"29,709",247,"Marion, AL - Fayette, AL","46,011"
"688","Putnam County",12107,"Florida",12107,"74,521",251,"St. Johns (St. Augustine), FL - Putnam, FL","339,193"
"689","St. Johns County",12109,"Florida",12109,"264,672",251,"St. Johns (St. Augustine), FL - Putnam, FL","339,193"
"690","Wilkes County",37193,"North Carolina",37193,"68,412",256,"Wilkes, NC","68,412"
"691","Rabun County",13241,"Georgia",13241,"17,137",268,"Rabun, GA","17,137"
"692","Antrim County",26009,"Michigan",26009,"23,324",271,"Grand Traverse, MI - Manistee, MI","198,535"
"693","Manistee County",26101,"Michigan",26101,"24,558",271,"Grand Traverse, MI - Manistee, MI","198,535"
"694","Benzie County",26019,"Michigan",26019,"17,766",271,"Grand Traverse, MI - Manistee, MI","198,535"
"695","Kalkaska County",26079,"Michigan",26079,"18,038",271,"Grand Traverse, MI - Manistee, MI","198,535"
"696","Leelanau County",26089,"Michigan",26089,"21,761",271,"Grand Traverse, MI - Manistee, MI","198,535"
"697","Grand Traverse County",26055,"Michigan",26055,"93,088",271,"Grand Traverse, MI - Manistee, MI","198,535"
"698","Brown County",55009,"Wisconsin",55009,"264,542",278,"Brown (Green Bay), WI - Oconto, WI","350,574"
"699","Kewaunee County",55061,"Wisconsin",55061,"20,434",278,"Brown (Green Bay), WI - Oconto, WI","350,574"
"700","Door County",55029,"Wisconsin",55029,"27,668",278,"Brown (Green Bay), WI - Oconto, WI","350,574"
"701","Oconto County",55083,"Wisconsin",55083,"37,930",278,"Brown (Green Bay), WI - Oconto, WI","350,574"
"702","Fayette County",39047,"Ohio",39047,"28,525",281,"Franklin (Columbus), OH - Delaware, OH","1,657,646"
"703","Delaware County",39041,"Ohio",39041,"209,177",281,"Franklin (Columbus), OH - Delaware, OH","1,657,646"
"704","Madison County",39097,"Ohio",39097,"44,731",281,"Franklin (Columbus), OH - Delaware, OH","1,657,646"
"705","Franklin County",39049,"Ohio",39049,"1,316,756",281,"Franklin (Columbus), OH - Delaware, OH","1,657,646"
"706","Pickaway County",39129,"Ohio",39129,"58,457",281,"Franklin (Columbus), OH - Delaware, OH","1,657,646"
"707","Ontonagon County",26131,"Michigan",26131,"5,720",284,"Oneida, WI - Vilas, WI","92,176"
"708","Vilas County",55125,"Wisconsin",55125,"22,195",284,"Oneida, WI - Vilas, WI","92,176"
"709","Forest County",55041,"Wisconsin",55041,"9,004",284,"Oneida, WI - Vilas, WI","92,176"
"710","Gogebic County",26053,"Michigan",26053,"13,975",284,"Oneida, WI - Vilas, WI","92,176"
"711","Iron County",55051,"Wisconsin",55051,"5,687",284,"Oneida, WI - Vilas, WI","92,176"
"712","Clinton County",26037,"Michigan",26037,"79,595",285,"Ingham (Lansing), MI - Eaton, MI","550,391"
"713","Eaton County",26045,"Michigan",26045,"110,268",285,"Ingham (Lansing), MI - Eaton, MI","550,391"
"714","Ingham County",26065,"Michigan",26065,"292,406",285,"Ingham (Lansing), MI - Eaton, MI","550,391"
"715","Shiawassee County",26155,"Michigan",26155,"68,122",285,"Ingham (Lansing), MI - Eaton, MI","550,391"
"716","Alger County",26003,"Michigan",26003,"9,108",293,"Marquette, MI - Delta, MI","125,914"
"717","Luce County",26095,"Michigan",26095,"6,229",293,"Marquette, MI - Delta, MI","125,914"
"718","Schoolcraft County",26153,"Michigan",26153,"8,094",293,"Marquette, MI - Delta, MI","125,914"
"719","Delta County",26041,"Michigan",26041,"35,784",293,"Marquette, MI - Delta, MI","125,914"
"720","Marquette County",26103,"Michigan",26103,"66,699",293,"Marquette, MI - Delta, MI","125,914"
"721","Calhoun County",17013,"Illinois",17013,"4,739",299,"Madison (Alton), IL - Jersey, IL","305,904"
"722","Jersey County",17083,"Illinois",17083,"21,773",299,"Madison (Alton), IL - Jersey, IL","305,904"
"723","Madison County",17119,"Illinois",17119,"262,966",299,"Madison (Alton), IL - Jersey, IL","305,904"
"724","Bond County",17005,"Illinois",17005,"16,426",299,"Madison (Alton), IL - Jersey, IL","305,904"
"725","Carroll County",18015,"Indiana",18015,"20,257",300,"Tippecanoe (Lafayette), IN - Clinton, IN","281,238"
"726","Tippecanoe County",18157,"Indiana",18157,"195,732",300,"Tippecanoe (Lafayette), IN - Clinton, IN","281,238"
"727","Benton County",18007,"Indiana",18007,"8,748",300,"Tippecanoe (Lafayette), IN - Clinton, IN","281,238"
"728","White County",18181,"Indiana",18181,"24,102",300,"Tippecanoe (Lafayette), IN - Clinton, IN","281,238"
"729","Clinton County",18023,"Indiana",18023,"32,399",300,"Tippecanoe (Lafayette), IN - Clinton, IN","281,238"
"730","Stephenson County",17177,"Illinois",17177,"44,498",302,"Dubuque (Dubuque), IA - Stephenson, IL","182,483"
"731","Jackson County",19097,"Iowa",19097,"19,439",302,"Dubuque (Dubuque), IA - Stephenson, IL","182,483"
"732","Jo Daviess County",17085,"Illinois",17085,"21,235",302,"Dubuque (Dubuque), IA - Stephenson, IL","182,483"
"733","Dubuque County",19061,"Iowa",19061,"97,311",302,"Dubuque (Dubuque), IA - Stephenson, IL","182,483"
"734","Dodge County",55027,"Wisconsin",55027,"87,839",306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","406,505"
"735","Green Lake County",55047,"Wisconsin",55047,"18,913",306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","406,505"
"736","Winnebago County",55139,"Wisconsin",55139,"171,907",306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","406,505"
"737","Fond du Lac County",55039,"Wisconsin",55039,"103,403",306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","406,505"
"738","Waushara County",55137,"Wisconsin",55137,"24,443",306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","406,505"
"739","Blackford County",18009,"Indiana",18009,"11,758",323,"Delaware (Muncie), IN - Randolph, IN","150,558"
"740","Delaware County",18035,"Indiana",18035,"114,135",323,"Delaware (Muncie), IN - Randolph, IN","150,558"
"741","Randolph County",18135,"Indiana",18135,"24,665",323,"Delaware (Muncie), IN - Randolph, IN","150,558"
"742","Cass County",26027,"Michigan",26027,"51,787",327,"Berrien (Benton Harbor), MI - Van Buren, MI","280,865"
"743","Berrien County",26021,"Michigan",26021,"153,401",327,"Berrien (Benton Harbor), MI - Van Buren, MI","280,865"
"744","Van Buren County",26159,"Michigan",26159,"75,677",327,"Berrien (Benton Harbor), MI - Van Buren, MI","280,865"
"745","St. Joseph County",26149,"Michigan",26149,"60,964",348,"Kalamazoo (Kalamazoo), MI - St. Joseph, MI","326,030"
"746","Kalamazoo County",26077,"Michigan",26077,"265,066",348,"Kalamazoo (Kalamazoo), MI - St. Joseph, MI","326,030"
"747","Hancock County",18059,"Indiana",18059,"78,168",362,"Hancock, IN - Henry (New Castle), IN","126,140"
"748","Henry County",18065,"Indiana",18065,"47,972",362,"Hancock, IN - Henry (New Castle), IN","126,140"
"749","Clinton County",39027,"Ohio",39027,"41,968",372,"Highland, OH - Clinton, OH","85,129"
"750","Highland County",39071,"Ohio",39071,"43,161",372,"Highland, OH - Clinton, OH","85,129"
"751","Shelby County",39149,"Ohio",39149,"48,590",376,"Miami (Piqua), OH - Shelby, OH","155,577"
"752","Miami County",39109,"Ohio",39109,"106,987",376,"Miami (Piqua), OH - Shelby, OH","155,577"
"753","Guernsey County",39059,"Ohio",39059,"38,875",377,"Muskingum, OH - Guernsey, OH","226,756"
"754","Muskingum County",39119,"Ohio",39119,"86,215",377,"Muskingum, OH - Guernsey, OH","226,756"
"755","Noble County",39121,"Ohio",39121,"14,424",377,"Muskingum, OH - Guernsey, OH","226,756"
"756","Perry County",39127,"Ohio",39127,"36,134",377,"Muskingum, OH - Guernsey, OH","226,756"
"757","Coshocton County",39031,"Ohio",39031,"36,600",377,"Muskingum, OH - Guernsey, OH","226,756"
"758","Morgan County",39115,"Ohio",39115,"14,508",377,"Muskingum, OH - Guernsey, OH","226,756"
"759","Shawano County",55115,"Wisconsin",55115,"40,899",379,"Shawano, WI - Langlade, WI","64,644"
"760","Langlade County",55067,"Wisconsin",55067,"19,189",379,"Shawano, WI - Langlade, WI","64,644"
"761","Menominee County",55078,"Wisconsin",55078,"4,556",379,"Shawano, WI - Langlade, WI","64,644"
"762","Wayne County",18177,"Indiana",18177,"65,884",385,"Wayne, IN - Fayette, IN","96,040"
"763","Union County",18161,"Indiana",18161,"7,054",385,"Wayne, IN - Fayette, IN","96,040"
"764","Fayette County",18041,"Indiana",18041,"23,102",385,"Wayne, IN - Fayette, IN","96,040"
"765","Portage County",55097,"Wisconsin",55097,"70,772",400,"Portage, WI","70,772"
"766","Miller County",5091,"Arkansas",5091,"43,257",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"767","Hempstead County",5057,"Arkansas",5057,"21,532",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"768","Lafayette County",5073,"Arkansas",5073,"6,624",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"769","Nevada County",5099,"Arkansas",5099,"8,252",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"770","Bowie County",48037,"Texas",48037,"93,245",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"771","Howard County",5061,"Arkansas",5061,"13,202",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"772","Little River County",5081,"Arkansas",5081,"12,259",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"773","Sevier County",5133,"Arkansas",5133,"17,007",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"774","McCurtain County",40089,"Oklahoma",40089,"32,832",404,"Bowie (Texarkana), TX - Miller, AR","248,210"
"775","Forrest County",28035,"Mississippi",28035,"74,897",409,"Forrest, MS - Lamar, MS","182,435"
"776","Greene County",28041,"Mississippi",28041,"13,586",409,"Forrest, MS - Lamar, MS","182,435"
"777","Lamar County",28073,"Mississippi",28073,"63,343",409,"Forrest, MS - Lamar, MS","182,435"
"778","Covington County",28031,"Mississippi",28031,"18,636",409,"Forrest, MS - Lamar, MS","182,435"
"779","Perry County",28111,"Mississippi",28111,"11,973",409,"Forrest, MS - Lamar, MS","182,435"
"780","Holmes County",28051,"Mississippi",28051,"17,010",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"781","Madison County",28089,"Mississippi",28089,"106,272",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"782","Leake County",28079,"Mississippi",28079,"22,786",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"783","Scott County",28123,"Mississippi",28123,"28,124",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"784","Simpson County",28127,"Mississippi",28127,"26,658",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"785","Hinds County",28049,"Mississippi",28049,"231,840",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"786","Attala County",28007,"Mississippi",28007,"18,174",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"787","Cotton County",40033,"Oklahoma",40033,"5,666",493,"Comanche (Lawton), OK - Kiowa, OK","142,373"
"788","Rankin County",28121,"Mississippi",28121,"155,271",411,"Hinds (Jackson), MS - Rankin, MS","606,135"
"789","Coahoma County",28027,"Mississippi",28027,"22,124",422,"Coahoma, MS - Tallahatchie, MS","42,725"
"790","Tallahatchie County",28135,"Mississippi",28135,"13,809",422,"Coahoma, MS - Tallahatchie, MS","42,725"
"791","Quitman County",28119,"Mississippi",28119,"6,792",422,"Coahoma, MS - Tallahatchie, MS","42,725"
"792","Refugio County",48391,"Texas",48391,"6,948",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"793","Jackson County",48239,"Texas",48239,"14,760",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"794","DeWitt County",48123,"Texas",48123,"20,160",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"795","Lavaca County",48285,"Texas",48285,"20,154",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"796","Calhoun County",48057,"Texas",48057,"21,290",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"797","Goliad County",48175,"Texas",48175,"7,658",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"798","Victoria County",48469,"Texas",48469,"92,084",433,"Victoria (Victoria), TX - Calhoun, TX","183,054"
"799","Bienville Parish",22013,"Louisiana",22013,"13,241",439,"Lincoln, LA - Union, LA","97,835"
"800","Lincoln Parish",22061,"Louisiana",22061,"46,742",439,"Lincoln, LA - Union, LA","97,835"
"801","Jackson Parish",22049,"Louisiana",22049,"15,744",439,"Lincoln, LA - Union, LA","97,835"
"802","Union Parish",22111,"Louisiana",22111,"22,108",439,"Lincoln, LA - Union, LA","97,835"
"803","Beckham County",40009,"Oklahoma",40009,"21,859",440,"Beckham, OK - Roger Mills, OK","25,442"
"804","Roger Mills County",40129,"Oklahoma",40129,"3,583",440,"Beckham, OK - Roger Mills, OK","25,442"
"805","Crane County",48103,"Texas",48103,"4,797",444,"Ector (Odessa), TX - Reeves, TX","207,004"
"806","Reeves County",48389,"Texas",48389,"15,976",444,"Ector (Odessa), TX - Reeves, TX","207,004"
"807","Ward County",48475,"Texas",48475,"11,998",444,"Ector (Odessa), TX - Reeves, TX","207,004"
"808","Winkler County",48495,"Texas",48495,"8,010",444,"Ector (Odessa), TX - Reeves, TX","207,004"
"809","Ector County",48135,"Texas",48135,"166,223",444,"Ector (Odessa), TX - Reeves, TX","207,004"
"810","Latimer County",40077,"Oklahoma",40077,"10,073",466,"Pittsburg, OK - Pushmataha, OK","64,823"
"811","Pittsburg County",40121,"Oklahoma",40121,"43,654",466,"Pittsburg, OK - Pushmataha, OK","64,823"
"812","Pushmataha County",40127,"Oklahoma",40127,"11,096",466,"Pittsburg, OK - Pushmataha, OK","64,823"
"813","Noble County",40103,"Oklahoma",40103,"11,131",472,"Payne, OK - Pawnee, OK","109,291"
"814","Pawnee County",40117,"Oklahoma",40117,"16,376",472,"Payne, OK - Pawnee, OK","109,291"
"815","Payne County",40119,"Oklahoma",40119,"81,784",472,"Payne, OK - Pawnee, OK","109,291"
"816","Jack County",48237,"Texas",48237,"8,935",479,"Palo Pinto, TX - Jack, TX","38,124"
"817","Palo Pinto County",48363,"Texas",48363,"29,189",479,"Palo Pinto, TX - Jack, TX","38,124"
"818","Jackson County",40065,"Oklahoma",40065,"24,530",483,"Jackson, OK - Greer, OK","32,895"
"819","Greer County",40055,"Oklahoma",40055,"5,712",483,"Jackson, OK - Greer, OK","32,895"
"820","Harmon County",40057,"Oklahoma",40057,"2,653",483,"Jackson, OK - Greer, OK","32,895"
"821","Calhoun County",5013,"Arkansas",5013,"5,189",486,"Union, AR - Columbia, AR","67,328"
"822","Columbia County",5027,"Arkansas",5027,"23,457",486,"Union, AR - Columbia, AR","67,328"
"823","Union County",5139,"Arkansas",5139,"38,682",486,"Union, AR - Columbia, AR","67,328"
"824","Martin County",48317,"Texas",48317,"5,771",492,"Midland (Midland), TX - Pecos, TX","202,859"
"825","Midland County",48329,"Texas",48329,"176,832",492,"Midland (Midland), TX - Pecos, TX","202,859"
"826","Terrell County",48443,"Texas",48443,"776",492,"Midland (Midland), TX - Pecos, TX","202,859"
"827","Pecos County",48371,"Texas",48371,"15,823",492,"Midland (Midland), TX - Pecos, TX","202,859"
"828","Upton County",48461,"Texas",48461,"3,657",492,"Midland (Midland), TX - Pecos, TX","202,859"
"829","Comanche County",40031,"Oklahoma",40031,"120,749",493,"Comanche (Lawton), OK - Kiowa, OK","142,373"
"830","Tillman County",40141,"Oklahoma",40141,"7,250",493,"Comanche (Lawton), OK - Kiowa, OK","142,373"
"831","Kiowa County",40075,"Oklahoma",40075,"8,708",493,"Comanche (Lawton), OK - Kiowa, OK","142,373"
"832","Crittenden County",5035,"Arkansas",5035,"47,955",499,"Crittenden (West Memphis), AR - St. Francis, AR","98,225"
"833","Cross County",5037,"Arkansas",5037,"16,419",499,"Crittenden (West Memphis), AR - St. Francis, AR","98,225"
"834","Lee County",5077,"Arkansas",5077,"8,857",499,"Crittenden (West Memphis), AR - St. Francis, AR","98,225"
"835","St. Francis County",5123,"Arkansas",5123,"24,994",499,"Crittenden (West Memphis), AR - St. Francis, AR","98,225"
"836","St. Tammany Parish",22103,"Louisiana",22103,"260,419",500,"St. Tammany (Slidell), LA - Pearl River, MS","362,148"
"837","Washington Parish",22117,"Louisiana",22117,"46,194",500,"St. Tammany (Slidell), LA - Pearl River, MS","362,148"
"838","Pearl River County",28109,"Mississippi",28109,"55,535",500,"St. Tammany (Slidell), LA - Pearl River, MS","362,148"
"839","Cottle County",48101,"Texas",48101,"1,398",512,"Childress, TX - Hall, TX","11,668"
"840","Childress County",48075,"Texas",48075,"7,306",512,"Childress, TX - Hall, TX","11,668"
"841","Hall County",48191,"Texas",48191,"2,964",512,"Childress, TX - Hall, TX","11,668"
"842","Yoakum County",48501,"Texas",48501,"8,713",514,"Terry, TX - Yoakum, TX","21,050"
"843","Terry County",48445,"Texas",48445,"12,337",514,"Terry, TX - Yoakum, TX","21,050"
"844","Wilkinson County",28157,"Mississippi",28157,"8,630",525,"Wilkinson, MS","8,630"
"845","Yazoo County",28163,"Mississippi",28163,"29,690",533,"Yazoo, MS","29,690"
"846","Polk County",5113,"Arkansas",5113,"19,964",534,"Polk, AR","19,964"
"847","Becker County",27005,"Minnesota",27005,"34,423",547,"Cass (Fargo), ND - Clay, MN","346,542"
"848","Mahnomen County",27087,"Minnesota",27087,"5,527",547,"Cass (Fargo), ND - Clay, MN","346,542"
"849","Steele County",38091,"North Dakota",38091,"1,890",547,"Cass (Fargo), ND - Clay, MN","346,542"
"850","Traill County",38097,"North Dakota",38097,"8,036",547,"Cass (Fargo), ND - Clay, MN","346,542"
"851","Clay County",27027,"Minnesota",27027,"64,222",547,"Cass (Fargo), ND - Clay, MN","346,542"
"852","Cass County",38017,"North Dakota",38017,"181,923",547,"Cass (Fargo), ND - Clay, MN","346,542"
"853","Griggs County",38039,"North Dakota",38039,"2,231",547,"Cass (Fargo), ND - Clay, MN","346,542"
"854","Ransom County",38073,"North Dakota",38073,"5,218",547,"Cass (Fargo), ND - Clay, MN","346,542"
"855","Norman County",27107,"Minnesota",27107,"6,375",547,"Cass (Fargo), ND - Clay, MN","346,542"
"856","Wilkin County",27167,"Minnesota",27167,"6,207",547,"Cass (Fargo), ND - Clay, MN","346,542"
"857","Barnes County",38003,"North Dakota",38003,"10,415",547,"Cass (Fargo), ND - Clay, MN","346,542"
"858","Richland County",38077,"North Dakota",38077,"16,177",547,"Cass (Fargo), ND - Clay, MN","346,542"
"859","Sargent County",38081,"North Dakota",38081,"3,898",547,"Cass (Fargo), ND - Clay, MN","346,542"
"860","Laclede County",29105,"Missouri",29105,"35,723",549,"Greene (Springfield), MO - Christian, MO","695,270"
"861","Lawrence County",29109,"Missouri",29109,"38,355",549,"Greene (Springfield), MO - Christian, MO","695,270"
"862","Webster County",29225,"Missouri",29225,"39,592",549,"Greene (Springfield), MO - Christian, MO","695,270"
"863","Dallas County",29059,"Missouri",29059,"16,878",549,"Greene (Springfield), MO - Christian, MO","695,270"
"864","Greene County",29077,"Missouri",29077,"293,086",549,"Greene (Springfield), MO - Christian, MO","695,270"
"865","Hickory County",29085,"Missouri",29085,"9,544",549,"Greene (Springfield), MO - Christian, MO","695,270"
"866","Polk County",29167,"Missouri",29167,"32,149",549,"Greene (Springfield), MO - Christian, MO","695,270"
"867","Texas County",29215,"Missouri",29215,"25,398",549,"Greene (Springfield), MO - Christian, MO","695,270"
"868","Christian County",29043,"Missouri",29043,"88,595",549,"Greene (Springfield), MO - Christian, MO","695,270"
"869","Douglas County",29067,"Missouri",29067,"13,185",549,"Greene (Springfield), MO - Christian, MO","695,270"
"870","Stone County",29209,"Missouri",29209,"31,952",549,"Greene (Springfield), MO - Christian, MO","695,270"
"871","Wright County",29229,"Missouri",29229,"18,289",549,"Greene (Springfield), MO - Christian, MO","695,270"
"872","Barry County",29009,"Missouri",29009,"35,789",549,"Greene (Springfield), MO - Christian, MO","695,270"
"873","Dade County",29057,"Missouri",29057,"7,561",549,"Greene (Springfield), MO - Christian, MO","695,270"
"874","Ozark County",29153,"Missouri",29153,"9,174",549,"Greene (Springfield), MO - Christian, MO","695,270"
"875","Union County",17181,"Illinois",17181,"16,653",563,"Cape Girardeau, MO - Butler, MO","310,071"
"876","Perry County",29157,"Missouri",29157,"19,136",563,"Cape Girardeau, MO - Butler, MO","310,071"
"877","Ripley County",29181,"Missouri",29181,"13,288",563,"Cape Girardeau, MO - Butler, MO","310,071"
"878","New Madrid County",29143,"Missouri",29143,"17,076",563,"Cape Girardeau, MO - Butler, MO","310,071"
"879","Wayne County",29223,"Missouri",29223,"12,873",563,"Cape Girardeau, MO - Butler, MO","310,071"
"880","Scott County",29201,"Missouri",29201,"38,280",563,"Cape Girardeau, MO - Butler, MO","310,071"
"881","Bollinger County",29017,"Missouri",29017,"12,133",563,"Cape Girardeau, MO - Butler, MO","310,071"
"882","Butler County",29023,"Missouri",29023,"42,478",563,"Cape Girardeau, MO - Butler, MO","310,071"
"883","Cape Girardeau County",29031,"Missouri",29031,"78,871",563,"Cape Girardeau, MO - Butler, MO","310,071"
"884","Carter County",29035,"Missouri",29035,"5,982",563,"Cape Girardeau, MO - Butler, MO","310,071"
"885","Mississippi County",29133,"Missouri",29133,"13,180",563,"Cape Girardeau, MO - Butler, MO","310,071"
"886","Stoddard County",29207,"Missouri",29207,"29,025",563,"Cape Girardeau, MO - Butler, MO","310,071"
"887","Alexander County",17003,"Illinois",17003,"5,761",563,"Cape Girardeau, MO - Butler, MO","310,071"
"888","Pulaski County",17153,"Illinois",17153,"5,335",563,"Cape Girardeau, MO - Butler, MO","310,071"
"889","Scotland County",29199,"Missouri",29199,"4,902",566,"Adair, MO - Sullivan, MO","49,649"
"890","Adair County",29001,"Missouri",29001,"25,343",566,"Adair, MO - Sullivan, MO","49,649"
"891","Sullivan County",29211,"Missouri",29211,"6,089",566,"Adair, MO - Sullivan, MO","49,649"
"892","Putnam County",29171,"Missouri",29171,"4,696",566,"Adair, MO - Sullivan, MO","49,649"
"893","Schuyler County",29197,"Missouri",29197,"4,660",566,"Adair, MO - Sullivan, MO","49,649"
"894","Knox County",29103,"Missouri",29103,"3,959",566,"Adair, MO - Sullivan, MO","49,649"
"895","Buffalo County",31019,"Nebraska",31019,"49,659",570,"Buffalo, NE - Dawson, NE","90,346"
"896","Kearney County",31099,"Nebraska",31099,"6,495",570,"Buffalo, NE - Dawson, NE","90,346"
"897","Sherman County",31163,"Nebraska",31163,"3,001",570,"Buffalo, NE - Dawson, NE","90,346"
"898","Dawson County",31047,"Nebraska",31047,"23,595",570,"Buffalo, NE - Dawson, NE","90,346"
"899","Gosper County",31073,"Nebraska",31073,"1,990",570,"Buffalo, NE - Dawson, NE","90,346"
"900","Frontier County",31063,"Nebraska",31063,"2,627",570,"Buffalo, NE - Dawson, NE","90,346"
"901","Franklin County",31061,"Nebraska",31061,"2,979",570,"Buffalo, NE - Dawson, NE","90,346"
"902","Lawrence County",5075,"Arkansas",5075,"16,406",571,"Craighead, AR - Greene, AR","257,231"
"903","Clay County",5021,"Arkansas",5021,"14,551",571,"Craighead, AR - Greene, AR","257,231"
"904","Randolph County",5121,"Arkansas",5121,"17,958",571,"Craighead, AR - Greene, AR","257,231"
"905","Greene County",5055,"Arkansas",5055,"45,325",571,"Craighead, AR - Greene, AR","257,231"
"906","Dunklin County",29069,"Missouri",29069,"29,131",571,"Craighead, AR - Greene, AR","257,231"
"907","Craighead County",5031,"Arkansas",5031,"110,332",571,"Craighead, AR - Greene, AR","257,231"
"908","Poinsett County",5111,"Arkansas",5111,"23,528",571,"Craighead, AR - Greene, AR","257,231"
"909","Blue Earth County",27013,"Minnesota",27013,"67,653",573,"Blue Earth, MN - Nicollet, MN","131,436"
"910","Nicollet County",27103,"Minnesota",27103,"34,274",573,"Blue Earth, MN - Nicollet, MN","131,436"
"911","Watonwan County",27165,"Minnesota",27165,"10,897",573,"Blue Earth, MN - Nicollet, MN","131,436"
"912","Waseca County",27161,"Minnesota",27161,"18,612",573,"Blue Earth, MN - Nicollet, MN","131,436"
"913","Fulton County",5049,"Arkansas",5049,"12,477",574,"Howell, MO - Independence, AR","152,691"
"914","Independence County",5063,"Arkansas",5063,"37,825",574,"Howell, MO - Independence, AR","152,691"
"915","Izard County",5065,"Arkansas",5065,"13,629",574,"Howell, MO - Independence, AR","152,691"
"916","Stone County",5137,"Arkansas",5137,"12,506",574,"Howell, MO - Independence, AR","152,691"
"917","Howell County",29091,"Missouri",29091,"40,117",574,"Howell, MO - Independence, AR","152,691"
"918","Oregon County",29149,"Missouri",29149,"10,529",574,"Howell, MO - Independence, AR","152,691"
"919","Shannon County",29203,"Missouri",29203,"8,166",574,"Howell, MO - Independence, AR","152,691"
"920","Sharp County",5135,"Arkansas",5135,"17,442",574,"Howell, MO - Independence, AR","152,691"
"921","Divide County",38023,"North Dakota",38023,"2,264",579,"Williams, ND - McKenzie, ND","54,877"
"922","McKenzie County",38053,"North Dakota",38053,"15,024",579,"Williams, ND - McKenzie, ND","54,877"
"923","Williams County",38105,"North Dakota",38105,"37,589",579,"Williams, ND - McKenzie, ND","54,877"
"924","Banner County",31007,"Nebraska",31007,"745",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"925","Box Butte County",31013,"Nebraska",31013,"10,783",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"926","Goshen County",56015,"Wyoming",56015,"13,211",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"927","Scotts Bluff County",31157,"Nebraska",31157,"35,618",580,"Scotts Bluff, NE - Goshen, WY","69,815"
"928","Niobrara County",56027,"Wyoming",56027,"2,356",580,"Scotts Bluff, NE - Goshen, WY","69,815"
